station_id,day_of_week,time_interval,predicted_level
WHTM,Tuesday,00:00-01:00,
WHTM,Tuesday,01:00-02:00,
WHTM,Tuesday,02:00-03:00,1.0
WHTM,Tuesday,03:00-04:00,1.0
WHTM,Tuesday,04:00-05:00,1.0
WHTM,Tuesday,05:00-06:00,1.0
WHTM,Tuesday,06:00-07:00,1.0
WHTM,Tuesday,07:00-08:00,1.0
WHTM,Tuesday,08:00-09:00,1.0
WHTM,Tuesday,09:00-10:00,1.0
WHTM,Tuesday,10:00-11:00,1.0
WHTM,Tuesday,11:00-12:00,1.0
WHTM,Tuesday,12:00-13:00,1.0
WHTM,Tuesday,13:00-14:00,1.0
WHTM,Tuesday,14:00-15:00,1.0
WHTM,Tuesday,15:00-16:00,1.0
WHTM,Tuesday,16:00-17:00,1.0
WHTM,Tuesday,17:00-18:00,1.0
WHTM,Tuesday,18:00-19:00,1.0
WHTM,Tuesday,19:00-20:00,1.0
WHTM,Tuesday,20:00-21:00,1.0
WHTM,Tuesday,21:00-22:00,1.0
WHTM,Tuesday,22:00-23:00,1.0
WHTM,Tuesday,23:00-00:00,1.0
WHTM,Wednesday,00:00-01:00,1.0
WHTM,Wednesday,01:00-02:00,1.0
WHTM,Wednesday,02:00-03:00,1.0
WHTM,Wednesday,03:00-04:00,1.0
WHTM,Wednesday,04:00-05:00,1.0
WHTM,Wednesday,05:00-06:00,1.0
WHTM,Wednesday,06:00-07:00,1.0
WHTM,Wednesday,07:00-08:00,1.0
WHTM,Wednesday,08:00-09:00,1.0
WHTM,Wednesday,09:00-10:00,1.0
WHTM,Wednesday,10:00-11:00,1.0
WHTM,Wednesday,11:00-12:00,1.0
WHTM,Wednesday,12:00-13:00,1.0
WHTM,Wednesday,13:00-14:00,1.0
WHTM,Wednesday,14:00-15:00,1.0
WHTM,Wednesday,15:00-16:00,1.0
WHTM,Wednesday,16:00-17:00,1.0
WHTM,Wednesday,17:00-18:00,1.0
WHTM,Wednesday,18:00-19:00,1.0
